Codigo_Municipio,Municipio,GCI,IDF_2020,Puesto_GCIN,Puesto_GCIDepto,Puesto_Depto,Puesto_Nacional,Clasificacion,año
15.693,SANTA ROSA DE VITERBO,G4,74.5,1,1,1,6,Solvente,2020
15.842,ÚMBITA,G4,72.3,2,2,2,15,Solvente,2020
15.317,GUACAMAYAS,G4,70.7,3,3,3,21,Solvente,2020
15.776,SUTAMARCHÁN,G2,70.3,1,1,4,22,Solvente,2020
15.464,MONGUA,G4,69.7,4,4,5,25,Vulnerable,2020
15.837,TUTA,G1,68.6,14,1,6,39,Vulnerable,2020
15.638,SÁCHICA,G1,67.7,18,2,7,47,Vulnerable,2020
15.806,TIBASOSA,G1,67.7,19,3,8,49,Vulnerable,2020
15.407,VILLA DE LEYVA,G1,67.6,20,4,9,50,Vulnerable,2020
15.664,SAN JOSÉ DE PARE,G3,67.5,12,1,10,52,Vulnerable,2020
15.696,SANTA SOFÍA,G1,66.5,27,5,11,73,Vulnerable,2020
15.533,PAYA,G4,66.1,12,5,12,77,Vulnerable,2020
15.897,ZETAQUIRA,G1,64.9,34,6,13,99,Vulnerable,2020
15.681,SAN PABLO DE BORBUR,G4,64.7,19,6,14,105,Vulnerable,2020
15.778,SUTATENZA,G2,63.8,13,2,15,125,Vulnerable,2020
15.6,RÁQUIRA,G3,63.7,25,2,16,127,Vulnerable,2020
15.367,JENESANO,G1,63.5,49,7,17,134,Vulnerable,2020
15.514,PÁEZ,G1,63.5,51,8,18,136,Vulnerable,2020
15.322,GUATEQUE,G2,63.1,15,3,19,145,Vulnerable,2020
15.377,LABRANZAGRANDE,G3,63,31,3,20,150,Vulnerable,2020
15.814,TOCA,G2,62.9,21,4,21,159,Vulnerable,2020
15.646,SAMACÁ,G1,62.8,58,9,22,163,Vulnerable,2020
15.522,PANQUEBA,G3,62.8,34,4,23,164,Vulnerable,2020
15.537,PAZ DE RÍO,G2,62.8,22,5,24,169,Vulnerable,2020
15.804,TIBANÁ,G3,62.5,36,5,25,177,Vulnerable,2020
15.215,CORRALES,G1,62.2,65,10,26,190,Vulnerable,2020
15.676,SAN MIGUEL DE SEMA,G2,62.1,29,6,27,194,Vulnerable,2020
15.58,QUÍPAMA,G3,62.1,39,6,28,195,Vulnerable,2020
15.757,SOCHA,G2,61.8,34,7,29,204,Vulnerable,2020
15.176,CHIQUINQUIRÁ,G1,61.7,68,11,30,207,Vulnerable,2020
15.861,VENTAQUEMADA,G2,61.6,35,8,31,212,Vulnerable,2020
15.516,PAIPA,G1,61.4,74,12,32,226,Vulnerable,2020
15.476,MOTAVITA,G3,61.3,46,7,33,231,Vulnerable,2020
15.466,MONGUÍ,G3,61.2,51,8,34,244,Vulnerable,2020
15.808,TINJACÁ,G3,61.1,52,9,35,248,Vulnerable,2020
15.507,OTANCHE,G1,60.9,80,13,36,257,Vulnerable,2020
15.469,MONIQUIRÁ,G2,60.8,49,9,37,260,Vulnerable,2020
15.686,SANTANA,G3,60.8,53,10,38,261,Vulnerable,2020
15.835,TURMEQUÉ,G3,60.8,54,11,39,264,Vulnerable,2020
15.296,GÁMEZA,G4,60.7,40,7,40,268,Vulnerable,2020
15.74,SIACHOQUE,G3,60.7,57,12,41,272,Vulnerable,2020
15.232,CHÍQUIZA,G3,60.2,59,13,42,285,Vulnerable,2020
15.48,MUZO,G2,59.8,57,10,43,296,Riesgo,2020
15.763,SOTAQUIRÁ,G2,59.7,58,11,44,302,Riesgo,2020
15.238,DUITAMA,G1,59.7,88,14,45,304,Riesgo,2020
15.299,GARAGOA,G2,59.5,61,12,46,317,Riesgo,2020
15.135,CAMPOHERMOSO,G1,59.2,96,15,47,331,Riesgo,2020
15.491,NOBSA,G1,59.2,97,16,48,334,Riesgo,2020
15.455,MIRAFLORES,G1,58.9,100,17,49,343,Riesgo,2020
15.223,CUBARÁ,G4,58.7,49,8,50,353,Riesgo,2020
15.236,CHIVOR,G3,58.5,73,14,51,362,Riesgo,2020
15.204,CÓMBITA,G3,58.3,75,15,52,369,Riesgo,2020
15.272,FIRAVITOBA,G2,58.2,76,13,53,376,Riesgo,2020
15.183,CHITA,G4,58,58,9,54,383,Riesgo,2020
15.187,CHIVATÁ,G2,57.8,83,14,55,394,Riesgo,2020
15.542,PESCA,G4,57.5,63,10,56,407,Riesgo,2020
15.879,VIRACACHÁ,G4,57.5,64,11,57,408,Riesgo,2020
15.087,BELÉN,G2,57.4,88,15,58,413,Riesgo,2020
15.632,SABOYÁ,G3,57.3,86,16,59,419,Riesgo,2020
15.599,RAMIRIQUÍ,G1,57.1,118,18,60,434,Riesgo,2020
15.403,LA UVITA,G3,56.9,92,17,61,445,Riesgo,2020
15.097,BOAVITA,G3,56.9,93,18,62,448,Riesgo,2020
15.18,CHISCAS,G4,56.7,70,12,63,452,Riesgo,2020
15.442,MARIPÍ,G4,56.3,74,13,64,473,Riesgo,2020
15.332,GÜICÁN,G4,56.3,75,14,65,474,Riesgo,2020
15.051,ARCABUCO,G2,56.1,100,16,66,482,Riesgo,2020
15.189,CIÉNEGA,G3,56,99,19,67,490,Riesgo,2020
15.104,BOYACÁ,G2,55.9,101,17,68,494,Riesgo,2020
15.172,CHINAVITA,G3,55.8,101,20,69,499,Riesgo,2020
15.511,PACHAVITA,G2,55.7,103,18,70,501,Riesgo,2020
15.69,SANTA MARÍA,G1,55.7,135,19,71,503,Riesgo,2020
15.368,JERICÓ,G3,55.6,106,21,72,509,Riesgo,2020
15.759,SOGAMOSO,G1,55.5,136,20,73,510,Riesgo,2020
15.293,GACHANTIVÁ,G3,55.1,109,22,74,541,Riesgo,2020
15.362,IZA,G1,54.9,143,21,75,549,Riesgo,2020
15.131,CALDAS,G3,54.9,111,23,76,550,Riesgo,2020
15.38,LA CAPILLA,G2,54.6,121,19,77,566,Riesgo,2020
15.425,MACANAL,G2,54.3,127,20,78,582,Riesgo,2020
15.621,RONDÓN,G4,54.3,93,15,79,586,Riesgo,2020
15.224,CUCAITA,G2,54,133,21,80,605,Riesgo,2020
15.531,PÁUNA,G3,53.9,119,24,81,609,Riesgo,2020
15.79,TASCO,G4,53.8,98,16,82,610,Riesgo,2020
15.001,TUNJA,G1,53.8,154,22,83,614,Riesgo,2020
15.755,SOCOTÁ,G3,53.6,123,25,84,628,Riesgo,2020
15.162,CERINZA,G3,53.5,125,26,85,634,Riesgo,2020
15.276,FLORESTA,G4,53.4,105,17,86,647,Riesgo,2020
15.226,CUÍTIVA,G3,53.2,129,27,87,657,Riesgo,2020
15.764,SORACÁ,G2,53.2,138,22,88,658,Riesgo,2020
15.572,PUERTO BOYACÁ,G1,53.1,162,23,89,664,Riesgo,2020
15.761,SOMONDOCO,G3,52.8,134,28,90,682,Riesgo,2020
15.218,COVARACHÍA,G3,52.7,136,29,91,687,Riesgo,2020
15.723,SATIVASUR,G2,52.7,143,23,92,688,Riesgo,2020
15.106,BRICEÑO,G2,52.5,147,24,93,705,Riesgo,2020
15.66,SAN EDUARDO,G2,52.4,148,25,94,712,Riesgo,2020
15.092,BETÉITIVA,G4,52.2,123,18,95,722,Riesgo,2020
15.325,GUAYATÁ,G2,52.1,149,26,96,725,Riesgo,2020
15.55,PISBA,G2,52.1,151,27,97,731,Riesgo,2020
15.832,TUNUNGUÁ,G1,52,174,24,98,735,Riesgo,2020
15.822,TOTA,G4,51.7,130,19,99,747,Riesgo,2020
15.82,TÓPAGA,G2,51.6,159,28,100,758,Riesgo,2020
15.212,COPER,G4,51.1,136,20,101,781,Riesgo,2020
15.81,TIPACOQUE,G4,51,141,21,102,792,Riesgo,2020
15.047,ALMEIDA,G4,50.8,143,22,103,799,Riesgo,2020
15.518,PAJARITO,G2,50.7,162,29,104,801,Riesgo,2020
15.114,BUSBANZÁ,G1,50.5,185,25,105,810,Riesgo,2020
15.09,BERBEO,G2,50.1,170,30,106,837,Riesgo,2020
15.798,TENZA,G2,50.1,172,31,107,841,Riesgo,2020
15.667,SAN LUIS DE GACENO,G2,49.7,177,32,108,854,Riesgo,2020
15.022,AQUITANIA,G2,49.3,179,33,109,866,Riesgo,2020
15.762,SORA,G4,49.3,163,23,110,870,Riesgo,2020
15.816,TOGÜÍ,G4,49.2,165,24,111,873,Riesgo,2020
15.5,OICATÁ,G1,48.7,195,26,112,892,Riesgo,2020
15.248,EL ESPINO,G3,48,188,30,113,911,Riesgo,2020
15.109,BUENAVISTA,G4,47.8,178,25,114,922,Riesgo,2020
15.494,NUEVO COLÓN,G2,47.7,188,34,115,924,Riesgo,2020
15.673,SAN MATEO,G3,46.9,195,31,116,946,Riesgo,2020
15.72,SATIVANORTE,G3,44.5,204,32,117,1.002,Riesgo,2020
15.244,EL COCUY,G3,44.3,206,33,118,1.007,Riesgo,2020
15.753,SOATÁ,G3,44.2,207,34,119,1.01,Riesgo,2020
15.185,CHITARAQUE,G4,43.2,201,26,120,1.023,Riesgo,2020
15.774,SUSACÓN,G5,39.8,194,1,121,1.057,Deterioro,2020
15.401,LA VICTORIA,G2,37.7,215,35,122,1.072,Deterioro,2020
15.839,TUTAZÁ,G2,26.48,218,36,123,1.099,"Sin Información, completa para el análisis",2020
15516,Paipa,G1,74.3,11,1,1,16,Solvente,2021
15135,Campo hermoso,G1,73.1,13,2,2,21,Solvente,2021
15276,Floresta,G4,72.5,2,1,3,23,Solvente,2021
15480,Muzo,G2,72.5,5,1,4,24,Solvente,2021
15533,Paya,G4,71.8,3,2,5,26,Solvente,2021
15814,Toca,G2,71.5,6,2,6,27,Solvente,2021
15109,Buenavista,G4,70.3,7,3,7,40,Solvente,2021
15511,Pachavita,G2,69.7,7,3,8,43,Vulnerable,2021
15204,Cómbita,G3,69.5,4,1,9,45,Vulnerable,2021
15491,Nobsa,G1,68.7,27,3,10,57,Vulnerable,2021
15455,Miraflores,G1,67.5,31,4,11,68,Vulnerable,2021
15621,Rondón,G4,67,11,4,12,73,Vulnerable,2021
15696,Santa Sofía,G1,66.7,34,6,14,79,Vulnerable,2021
15897,Zetaquira,G1,66.7,33,5,13,78,Vulnerable,2021
15790,Tasco,G4,66.6,14,5,15,82,Vulnerable,2021
15500,Oicatá,G1,66.4,37,7,16,86,Vulnerable,2021
15368,Jericó,G3,65.9,11,2,17,93,Vulnerable,2021
15514,Páez,G1,65.6,42,8,18,103,Vulnerable,2021
15299,Garagoa,G2,65.4,25,4,19,105,Vulnerable,2021
15646,Samacá,G1,65.2,44,9,20,107,Vulnerable,2021
15466,Monguí,G3,64.9,14,3,21,111,Vulnerable,2021
15808,Tinjacá,G3,64.5,17,4,22,117,Vulnerable,2021
15837,Tuta,G1,64.1,51,10,23,127,Vulnerable,2021
15542,Pesca,G4,63.9,21,6,24,131,Vulnerable,2021
15407,Villa de Leyva,G1,63.9,52,11,25,133,Vulnerable,2021
15764,Soracá,G2,63.8,29,5,26,139,Vulnerable,2021
15162,Cerinza,G3,62.3,26,5,27,174,Vulnerable,2021
15176,Chiquinquirá,G1,62.3,67,13,30,178,Vulnerable,2021
15476,Motavita,G3,62.3,27,6,28,175,Vulnerable,2021
15690,Santa María,G1,62.3,66,12,29,176,Vulnerable,2021
15762,Sora,G4,62.2,31,7,31,182,Vulnerable,2021
15223,Cubará,G4,61.7,36,8,32,200,Vulnerable,2021
15380,La Capilla,G2,61.6,43,6,33,208,Vulnerable,2021
15187,Chivatá,G2,61.5,45,7,34,212,Vulnerable,2021
15104,Boyacá,G2,60.6,53,8,36,232,Vulnerable,2021
15469,Moniquirá,G2,60.6,54,9,37,233,Vulnerable,2021
15755,Socotá,G3,60.6,34,7,35,230,Vulnerable,2021
15804,Tibaná,G3,60.4,35,8,38,242,Vulnerable,2021
15638,Sáchica,G1,60.2,89,14,39,247,Vulnerable,2021
15425,Macanal,G2,60.1,57,10,40,253,Vulnerable,2021
15092,Betéitiva,G4,59.3,51,9,42,289,Riesgo,2021
15377,Labranzagrande,G3,59.3,40,9,41,288,Riesgo,2021
15022,Almeida,G4,59.1,53,10,43,300,Riesgo,2021
15681,San Pablo de Borbur,G4,58.9,56,11,44,311,Riesgo,2021
15097,Boavita,G3,58.7,46,11,46,319,Riesgo,2021
15673,San Mateo,G3,58.7,45,10,45,318,Riesgo,2021
15507,Otanche,G1,58.6,105,15,47,324,Riesgo,2021
15537,Paz de Río,G2,57.9,83,11,48,355,Riesgo,2021
15806,Tibasosa,G1,57.5,113,16,49,372,Riesgo,2021
15296,Gámeza,G4,57.3,68,12,51,383,Riesgo,2021
15861,Ventaquemada,G2,57.3,87,12,50,380,Riesgo,2021
15238,Duitama,G1,57.1,116,17,52,390,Riesgo,2021
15212,Coper,G4,56.9,70,13,54,400,Riesgo,2021
15522,Panqueba,G3,56.9,63,12,53,399,Riesgo,2021
15215,Corrales,G1,56.8,123,18,56,408,Riesgo,2021
15322,Guateque,G2,56.8,94,13,55,406,Riesgo,2021
15367,Jenesano,G1,56.7,125,19,57,411,Riesgo,2021
15660,San Eduardo,G2,56.4,99,14,58,432,Riesgo,2021
15183,Chita,G4,56.3,73,14,60,436,Riesgo,2021
15676,San Miguel de Sema,G2,56.3,100,15,59,435,Riesgo,2021
15798,Tenza,G2,56.3,101,16,61,439,Riesgo,2021
15293,Gachantivá,G3,55.9,71,13,62,461,Riesgo,2021
15572,Puerto Boyacá,G1,55.4,144,20,63,483,Riesgo,2021
15822,Tota,G4,55.2,83,15,64,490,Riesgo,2021
15232,Chíquiza,G3,55.1,79,15,67,497,Riesgo,2021
15686,Santana,G3,55.1,78,14,65,494,Riesgo,2021
15816,Toguí,G4,55.1,84,16,66,495,Riesgo,2021
15051,Arcabuco,G2,54.8,116,17,68,506,Riesgo,2021
15244,El Cocuy,G3,54.8,82,17,70,511,Riesgo,2021
15600,Ráquira,G3,54.8,81,16,69,507,Riesgo,2021
15224,Cucaita,G2,54.7,118,18,71,514,Riesgo,2021
15114,Busbanzá,G1,54.6,150,21,72,522,Riesgo,2021
15879,Viracachá,G4,54.4,90,17,73,534,Riesgo,2021
15632,Saboyá,G3,54.3,90,18,74,535,Riesgo,2021
15774,Susacón,G5,54.3,71,1,75,536,Riesgo,2021
15001,Tunja,G1,54.3,155,22,76,539,Riesgo,2021
15317,Guacamayas,G4,54,93,18,77,549,Riesgo,2021
15464,Mongua,G4,54,94,19,78,551,Riesgo,2021
15236,Chivor,G3,53.8,96,19,79,566,Riesgo,2021
15580,Quípama,G3,53.8,98,20,80,571,Riesgo,2021
15087,Belén,G2,53.7,127,19,81,574,Riesgo,2021
15839,Tutazá,G2,53.5,130,20,82,587,Riesgo,2021
15226,Cuítiva,G3,53.3,101,21,83,603,Riesgo,2021
15518,Pajarito,G2,52.9,139,21,84,625,Riesgo,2021
15550,Pisba,G2,52.9,140,22,85,627,Riesgo,2021
15832,Tununguá,G1,52.8,165,23,86,632,Riesgo,2021
15776,Sutamarchán,G2,52.7,141,23,87,637,Riesgo,2021
15740,Siachoque,G3,52.4,115,22,88,648,Riesgo,2021
15757,Socha,G2,52,146,24,89,673,Riesgo,2021
15820,Tópaga,G2,51.6,150,25,90,691,Riesgo,2021
15362,Iza,G1,51.4,180,24,91,701,Riesgo,2021
15599,Ramiriquí,G1,51.1,183,25,92,717,Riesgo,2021
15272,Firavitoba,G2,51,156,26,93,723,Riesgo,2021
15693,Santa Rosa de Viterbo,G4,50.2,135,20,94,752,Riesgo,2021
15842,Úmbita,G4,50.1,137,21,95,758,Riesgo,2021
15172,Chinavita,G3,48.5,149,23,96,820,Riesgo,2021
15332,Guicán de la Sierra,G4,48.4,156,22,98,825,Riesgo,2021
15759,Sogamoso,G1,48.4,199,26,97,824,Riesgo,2021
15835,Turmequé,G3,47.9,155,24,99,846,Riesgo,2021
15778,Sutatenza,G2,47.8,179,27,100,850,Riesgo,2021
15180,Chiscas,G4,47.4,165,23,101,866,Riesgo,2021
15218,Covarachía,G3,47.4,162,25,102,869,Riesgo,2021
15753,Soatá,G3,47,166,26,103,882,Riesgo,2021
15403,La Uvita,G3,46.9,168,27,104,891,Riesgo,2021
15047,Aquitania,G2,46.7,187,28,105,899,Riesgo,2021
15667,San Luís de Gaceno,G2,46.6,189,29,106,904,Riesgo,2021
15761,Somondoco,G3,46.1,175,28,107,922,Riesgo,2021
15401,La Victoria,G2,46,193,30,108,924,Riesgo,2021
15723,Sativasur,G2,45.7,196,31,109,937,Riesgo,2021
15442,Maripí,G4,45.6,180,24,110,943,Riesgo,2021
15189,Ciénega,G3,45.5,182,29,111,944,Riesgo,2021
15763,Sotaquirá,G2,45.3,197,32,112,952,Riesgo,2021
15131,Caldas,G3,45.1,186,30,113,955,Riesgo,2021
15494,Nuevo Colón,G2,44.6,200,33,114,967,Riesgo,2021
15664,San José de Pare,G3,44.4,188,31,115,970,Riesgo,2021
15720,Sativanorte,G3,44.4,189,32,116,975,Riesgo,2021
15090,Berbeo,G2,44.2,203,34,117,978,Riesgo,2021
15248,El Espino,G3,43.4,196,33,118,1002,Riesgo,2021
15106,Briceño,G2,42.8,208,35,119,1013,Riesgo,2021
15325,Guayatá,G2,42,211,36,121,1023,Riesgo,2021
15531,Páuna,G3,42,207,34,120,1021,Riesgo,2021
15185,Chitaraque,G4,41.2,198,25,122,1029,Riesgo,2021
15810,Tipacoque,G4,36.7,211,26,123,1079,"Deterioro y/o sin Información, completa para el análisis",2021
